FBID,symbol
FBgn0264540,CG43919
FBgn0262881,Mtkl
FBgn0050480,CG30480
FBgn0263376,CG43428
FBgn0262547,CG43101
FBgn0259966,Sfp51E
FBgn0050472,CG30472
FBgn0260429,CG42524
FBgn0261538,CG42662
FBgn0034082,CG10734
FBgn0034144,CG5089
FBgn0034154,CG5267
FBgn0259738,CG42392
FBgn0264329,CG43788
FBgn0264330,CG43789
FBgn0085219,CG34190
FBgn0050461,CG30461
FBgn0263032,CG43327
FBgn0263114,CG43371
FBgn0262563,CG43103
FBgn0262882,CG43237
FBgn0262568,CG43108
FBgn0264541,CG43920
FBgn0261501,CG42649
FBgn0265576,CG44403
FBgn0265577,IBIN
FBgn0050325,CG30325
FBgn0050114,CG30114
FBgn0040737,Tango8
FBgn0261587,CG42697
FBgn0265627,CG44435
FBgn0265626,CG44434
FBgn0265625,CG44433
FBgn0262102,CG42855
FBgn0262480,CG43070
FBgn0262481,CG43071
FBgn0262569,CG43109
FBgn0263083,CG43351
FBgn0034413,CG15115
FBgn0262571,CG43111
FBgn0262966,CG43277
FBgn0034464,CG11018
FBgn0265762,CG44569
FBgn0261580,CG42690
FBgn0262824,CG43195
FBgn0261581,CG42691
FBgn0050447,CG30447
FBgn0265833,CG44622
FBgn0265834,CG44623
FBgn0265835,CG44624
FBgn0034502,CG13871
FBgn0042198,CG16741
FBgn0050154,CG30154
FBgn0034512,Bbd
FBgn0034551,CG15225
FBgn0067905,Dso2
FBgn0259708,CG42362
FBgn0259709,CG42363
FBgn0264714,CG43982
FBgn0050395,CG30395
FBgn0263324,CG43405
FBgn0034671,CG13494
FBgn0263250,CG43393
FBgn0265046,CG44163
FBgn0053200,VepD
FBgn0034737,CG11362
FBgn0262141,CG42867
FBgn0263707,CG43659
FBgn0262843,CG43207
FBgn0034839,CG13540
FBgn0034840,CG3124
FBgn0034867,CG13557
FBgn0262845,CG43209
FBgn0286932,CG46429
FBgn0286876,CG46398
FBgn0034998,CG13577
FBgn0266047,CG44812
FBgn0259968,Sfp60F
FBgn0011694,EbpII
FBgn0040688,CG12483
FBgn0284444,ddbt
FBgn0035239,CG18170
FBgn0262030,CG42841
FBgn0266436,CG45066
FBgn0266437,CG45067
FBgn0263246,CG43389
FBgn0262544,CG43098
FBgn0064227,Rdh
FBgn0264516,CG43915
FBgn0052259,CG32259
FBgn0047330,CG32235
FBgn0287586,CG46456
FBgn0265714,CG44521
FBgn0262985,CG43293
FBgn0035694,CG13299
FBgn0047334,BG642312
FBgn0259969,Sfp65A
FBgn0250849,CG32388
FBgn0263387,CG43439
FBgn0035730,CG17744
FBgn0040837,CG8620
FBgn0053278,CG33278
FBgn0052368,CG32368
FBgn0264472,CG43880
FBgn0260967,CG42590
FBgn0260968,CG42591
FBgn0264478,CG43886
FBgn0262361,CG43059
FBgn0264696,CG43965
FBgn0085485,CG34456
FBgn0286833,CG46387
FBgn0052061,CG32061
FBgn0036089,CG14151
FBgn0262890,CG43245
FBgn0083068,CG33947
FBgn0265469,CG44362
FBgn0053271,CG33271
FBgn0036178,CG14137
FBgn0286872,CG46394
FBgn0262021,CG42832
FBgn0036181,Muc68Ca
FBgn0264725,CG43993
FBgn0263647,CG43638
FBgn0036246,CG17154
FBgn0265455,CG44355
FBgn0052102,CG32102
FBgn0052107,CG32107
FBgn0052117,CG32117
FBgn0036320,CG10943
FBgn0052115,CG32115
FBgn0259970,Sfp70A4
FBgn0287423,Nplp2
FBgn0036390,CG13738
FBgn0036393,CG17362
FBgn0262581,CG43121
FBgn0036438,gdrd
FBgn0036443,CG13471
FBgn0263761,CG43678
FBgn0263762,CG43679
FBgn0263763,CG43680
FBgn0036469,CG18649
FBgn0036470,EAChm
FBgn0028377,gdl-ORF39
FBgn0036503,CG13454
FBgn0262893,CG43248
FBgn0262529,CG43083
FBgn0262530,CG43084
FBgn0004593,Eig71Ef
FBgn0014850,Eig71Ej
FBgn0014848,Eig71Eh
FBgn0036532,CG13445
FBgn0262894,CG43249
FBgn0261635,CG42718
FBgn0036654,CG9692
FBgn0052192,CG32192
FBgn0264748,CG44006
FBgn0264747,CG44005
FBgn0264746,CG44004
FBgn0085282,CG34253
FBgn0085285,CG34256
FBgn0263326,CG43407
FBgn0286940,CG46434
FBgn0286941,CG46435
FBgn0287592,CG46462
FBgn0259148,CG42263
FBgn0036923,CG17732
FBgn0036925,schuy
FBgn0052228,CG32228
FBgn0262896,CG43251
FBgn0086915,Mst77F
FBgn0267490,Mst77Y-4
FBgn0267411,CG45764
FBgn0267412,CG45765
FBgn0267413,CG45766
FBgn0267417,CG45770
FBgn0267491,Mst77Y-13
FBgn0259972,Sfp77F
FBgn0264552,CG43931
FBgn0037042,CG12984
FBgn0262482,CG43072
FBgn0264566,CG43938
FBgn0053284,CG33284
FBgn0263841,CG43702
FBgn0261059,Sfp78E
FBgn0037133,CG7370
FBgn0264487,CG43895
FBgn0263249,CG43392
FBgn0259973,Sfp79B
FBgn0004414,msopa
FBgn0266591,CG45116
FBgn0052452,CG32452
FBgn0266977,CG45428
FBgn0037195,CG11226
FBgn0052457,CG32457
FBgn0264897,CG44088
FBgn0040684,CG12589
FBgn0051538,CG31538
FBgn0085306,CG34277
FBgn0264427,CG43845
FBgn0040679,CG11373
FBgn0051560,CG31560
FBgn0037449,CG15185
FBgn0287588,CG46458
FBgn0260713,CG42544
FBgn0265423,CG44335
FBgn0037500,CG17944
FBgn0261508,CG42656
FBgn0267105,CG45545
FBgn0262362,CG43060
FBgn0262363,CG43061
FBgn0261060,Sfp93F
FBgn0040531,CG11741
FBgn0259992,CG42489
FBgn0053325,CG33325
FBgn0265158,CG44227
FBgn0263750,CG43675
FBgn0265201,CG44261
FBgn0051415,CG31415
FBgn0085331,CG34302
FBgn0287598,CG46467
FBgn0051406,CG31406
FBgn0267236,CG45676
FBgn0262364,CG43062
FBgn0260230,CG42504
FBgn0260231,CG42505
FBgn0261714,Cpn
FBgn0263404,CG43450
FBgn0264829,CG44037
FBgn0264830,CG44038
FBgn0266261,CG44956
FBgn0038123,CG8508
FBgn0287587,CG46457
FBgn0038158,CG14370
FBgn0038159,CG14369
FBgn0002862,Mst87F
FBgn0265146,CG44215
FBgn0038225,soti
FBgn0085302,CG34273
FBgn0264903,CG44094
FBgn0038311,CG14864
FBgn0266745,CG45218
FBgn0266734,CG45207
FBgn0000246,c(3)G
FBgn0263022,CG43317
FBgn0038377,CG9632
FBgn0038386,CG5478
FBgn0051088,CG31088
FBgn0085307,CG34278
FBgn0261847,CG42779
FBgn0266454,CG45079
FBgn0265199,CG44259
FBgn0265197,CG44257
FBgn0262006,CG42824
FBgn0038508,CG5866
FBgn0053333,CG33333
FBgn0262024,CG42835
FBgn0038509,CG14332
FBgn0038512,CG14330
FBgn0040565,CG7606
FBgn0262794,CG43175
FBgn0038558,CG12347
FBgn0263399,CG43445
FBgn0038612,cona
FBgn0262846,CG43210
FBgn0262823,hemo
FBgn0051230,CG31230
FBgn0051226,CG31226
FBgn0038656,CG14294
FBgn0265063,CG44174
FBgn0051459,CG31459
FBgn0038741,CG17186
FBgn0051206,CG31206
FBgn0287211,CG46441
FBgn0044810,TotX
FBgn0262144,CG42870
FBgn0015229,glec
FBgn0051174,CG31174
FBgn0266538,CG45099
FBgn0053107,CG33107
FBgn0262540,CG43094
FBgn0262541,CG43095
FBgn0263777,CG43694
FBgn0039088,CG10164
FBgn0002863,Acp95EF
FBgn0051128,CG31128
FBgn0284232,CG46316
FBgn0266534,CG45095
FBgn0053494,CG33494
FBgn0051093,CG31093
FBgn0250831,BG642167
FBgn0011670,Mst57Dc
FBgn0011669,Mst57Db
FBgn0262576,CG43116
FBgn0284229,CG46313
FBgn0285938,CG46335
FBgn0265317,CG44290
FBgn0263401,CG43447
FBgn0262613,CG43139
FBgn0039521,CG5402
FBgn0051055,CG31055
FBgn0263024,CG43319
FBgn0267104,CG45544
FBgn0039659,CG14506
FBgn0039752,CG15530
FBgn0263402,CG43448
FBgn0261704,CG42740
FBgn0266259,CG44954
FBgn0039792,CG2267
FBgn0039811,CG15550
FBgn0261583,CG42693
